CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;20;1;44;50;31;1;22
01:00;16;1;40;41;31;1;18
02:00;40;1;6;37;26;37;96
03:00;34;1;4;27;22;36;89
04:00;33;1;5;24;20;21;64
05:00;28;1;4;29;20;51;106
06:00;26;1;6;34;22;157;267
07:00;31;1;7;45;31;252;416
08:00;55;2;8;72;33;205;368
09:00;61;2;8;86;33;105;221
10:00;60;2;12;76;27;61;153
11:00;57;2;22;78;30;34;110
12:00;24;1;50;35;18;6;34
13:00;18;1;69;32;13;3;22
14:00;11;2;97;32;15;1;12
15:00;8;4;112;28;17;1;10
16:00;8;3;120;31;17;1;9
17:00;9;2;124;29;15;1;9
18:00;11;3;116;30;17;1;12
19:00;16;;104;29;15;1;17
20:00;19;1;88;31;21;1;20
21:00;28;1;74;48;30;2;30
22:00;29;1;61;47;26;2;31
23:00;21;2;56;48;27;2;23
