CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;50;31;43;23;11;68
01:00;52;18;39;25;34;104
02:00;39;3;31;12;52;117
03:00;32;2;25;12;39;92
04:00;22;2;23;13;43;87
05:00;23;2;27;12;30;69
06:00;26;2;32;18;112;197
07:00;24;11;29;16;46;94
08:00;23;22;26;15;12;43
09:00;16;47;22;13;6;25
10:00;18;52;26;12;5;27
11:00;16;61;31;13;5;23
12:00;13;89;29;15;3;17
13:00;9;114;30;11;1;11
14:00;6;125;29;15;1;8
15:00;7;144;33;16;1;8
16:00;7;165;37;20;1;8
17:00;5;149;39;20;0;6
18:00;4;145;36;15;0;5
19:00;8;123;34;17;0;9
20:00;12;110;36;16;1;13
21:00;18;95;31;19;1;20
22:00;15;86;31;20;1;18
23:00;43;45;38;24;8;55
