CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;82;15;16;123;81;146;305
01:00;63;17;19;138;102;88;197
02:00;;;;;;;
03:00;22;4;45;28;26;2;25
04:00;20;5;47;37;29;2;23
05:00;17;5;52;30;23;2;19
06:00;19;5;46;32;28;2;21
07:00;33;5;35;35;30;3;37
08:00;36;6;30;51;32;5;43
09:00;34;9;33;48;38;9;46
10:00;28;14;44;35;32;7;39
11:00;15;8;66;14;14;2;17
12:00;10;5;67;10;9;0;11
13:00;10;5;69;9;8;0;10
14:00;11;6;68;10;8;1;12
15:00;12;5;71;11;9;1;13
16:00;13;5;74;11;10;1;14
17:00;14;5;79;12;10;1;14
18:00;15;5;82;15;9;1;16
19:00;19;6;77;16;12;1;19
20:00;31;8;63;25;16;2;33
21:00;37;10;54;36;27;2;40
22:00;33;11;52;43;30;3;37
23:00;60;12;27;61;48;26;99
