CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;39;3;142;109;161;285
01:00;37;3;136;110;206;352
02:00;43;2;111;87;205;355
03:00;35;2;97;77;185;318
04:00;34;2;90;73;176;303
05:00;34;2;91;70;193;327
06:00;35;2;92;70;238;397
07:00;42;2;106;78;340;561
08:00;66;2;115;91;483;795
09:00;79;2;129;95;513;845
10:00;77;2;129;95;435;740
11:00;75;2;130;102;367;636
12:00;97;2;131;95;332;604
13:00;80;2;92;74;154;315
14:00;52;7;56;38;43;116
15:00;32;12;42;24;9;45
16:00;37;8;45;29;9;50
17:00;51;2;66;37;26;90
18:00;46;3;62;33;19;73
19:00;40;3;63;36;13;58
20:00;38;2;63;44;12;56
21:00;38;2;75;53;32;87
22:00;42;2;101;71;85;171
23:00;45;3;124;97;169;302
