CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;45;12;66;34;166;299
01:00;36;11;64;35;152;269
02:00;29;8;53;29;139;242
03:00;31;7;54;29;129;228
04:00;28;8;41;22;18;55
05:00;25;10;35;21;6;34
06:00;28;6;42;25;98;179
07:00;27;6;38;19;54;111
08:00;22;7;31;18;20;53
09:00;24;10;34;20;22;58
10:00;23;12;32;20;23;58
11:00;25;16;36;18;16;49
12:00;24;20;32;13;12;43
13:00;20;34;32;16;5;28
14:00;13;56;29;14;2;16
15:00;15;66;23;11;2;18
16:00;11;79;23;13;0;12
17:00;10;85;29;13;0;11
18:00;13;84;25;10;0;13
19:00;20;70;28;13;1;21
20:00;32;53;42;23;2;34
21:00;49;38;56;31;57;136
22:00;70;14;70;40;166;323
23:00;56;14;73;40;176;326
