CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;16;9;49;24;5;23
01:00;14;8;52;28;4;20
02:00;40;5;63;31;24;76
03:00;23;5;47;23;5;29
04:00;40;5;43;24;14;61
05:00;53;5;44;20;19;81
06:00;58;5;47;25;31;104
07:00;62;6;58;24;52;140
08:00;60;10;74;35;73;170
09:00;41;14;75;37;25;78
10:00;32;19;57;31;18;58
11:00;28;20;51;24;12;45
12:00;29;19;43;22;12;47
13:00;29;19;53;27;12;46
14:00;28;17;49;23;12;45
15:00;23;14;41;18;10;38
16:00;21;11;37;14;9;34
17:00;23;10;40;16;10;37
18:00;26;8;39;14;9;40
19:00;29;6;43;14;9;43
20:00;51;;73;33;11;67
21:00;30;5;51;23;8;42
22:00;25;7;52;23;7;35
23:00;22;8;51;25;6;30
