CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;10;2;27;4;3;1;12
01:00;8;2;29;4;4;0;8
02:00;9;2;46;19;14;0;10
03:00;8;2;49;17;15;0;8
04:00;9;2;47;14;11;0;9
05:00;9;2;44;13;12;0;9
06:00;11;2;38;14;10;2;15
07:00;14;2;33;19;6;5;23
08:00;18;3;24;19;6;10;34
09:00;20;3;19;15;8;11;38
10:00;;;17;13;9;;
11:00;18;2;;12;8;8;31
12:00;18;3;16;7;;8;31
13:00;13;3;22;4;;7;25
14:00;12;2;24;7;3;8;25
15:00;14;2;24;5;4;9;29
16:00;15;3;24;3;3;9;30
17:00;20;3;21;3;3;17;47
18:00;21;3;20;12;4;16;47
19:00;17;2;23;10;7;8;31
20:00;16;2;24;8;5;5;25
21:00;16;2;22;6;4;3;22
22:00;15;3;24;8;5;3;20
23:00;11;2;30;6;4;2;14
