CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;36;14;51;41;7;48
01:00;45;41;138;105;6;53
02:00;40;38;123;98;4;47
03:00;39;37;117;93;4;44
04:00;44;41;120;88;7;54
05:00;48;29;79;65;20;79
06:00;51;17;50;43;32;100
07:00;62;13;40;30;47;134
08:00;54;14;40;28;36;108
09:00;54;13;42;29;38;113
10:00;61;12;42;30;48;135
11:00;51;13;42;34;33;101
12:00;35;10;28;25;15;58
13:00;31;8;26;16;10;46
14:00;39;8;27;19;13;60
15:00;45;10;30;19;16;69
16:00;44;9;29;19;13;65
17:00;73;10;44;26;61;167
18:00;78;14;54;38;93;219
19:00;82;16;62;43;116;259
20:00;59;14;47;37;45;127
21:00;40;12;33;23;11;57
22:00;40;14;48;32;16;64
23:00;45;20;68;51;10;61
