CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;44;11;68;33;82;170
01:00;31;10;68;31;60;123
02:00;38;5;44;21;47;109
03:00;35;4;41;21;24;72
04:00;33;5;39;19;22;66
05:00;31;5;35;17;40;92
06:00;30;4;38;19;29;74
07:00;29;5;48;21;43;95
08:00;31;6;41;19;83;157
09:00;32;7;45;20;63;128
10:00;25;14;40;15;16;50
11:00;25;22;39;16;12;43
12:00;27;32;31;15;9;42
13:00;27;41;33;13;7;37
14:00;28;46;30;13;5;37
15:00;30;52;25;12;5;38
16:00;22;61;22;9;3;26
17:00;21;67;22;7;2;25
18:00;25;64;20;6;2;30
19:00;70;23;32;10;28;113
20:00;94;8;51;22;96;242
21:00;83;12;82;33;135;290
22:00;67;14;86;38;156;305
23:00;54;13;80;37;123;242
