CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;52;27;133;107;5;61
01:00;14;5;22;20;8;28
02:00;11;5;19;18;6;21
03:00;11;3;18;15;6;20
04:00;8;5;22;17;5;17
05:00;11;3;21;18;6;21
06:00;17;5;21;13;6;26
07:00;21;6;24;15;8;33
08:00;18;6;30;23;12;36
09:00;18;5;45;30;20;49
10:00;19;8;53;38;32;69
11:00;20;14;44;35;26;62
12:00;;;45;32;;
13:00;27;20;47;34;20;60
14:00;37;24;51;42;20;69
15:00;33;18;61;46;10;49
16:00;36;18;66;46;3;41
17:00;42;17;68;54;2;45
18:00;48;18;91;68;2;53
19:00;49;18;100;78;4;55
20:00;53;18;102;83;3;59
21:00;52;20;107;83;4;59
22:00;50;20;118;96;4;58
23:00;51;23;124;101;4;57
