CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;32;9;51;27;12;50
01:00;29;9;47;29;12;47
02:00;23;8;53;27;143;242
03:00;20;6;45;21;120;203
04:00;20;4;29;17;48;93
05:00;20;3;23;13;20;51
06:00;22;4;25;15;29;67
07:00;23;3;20;13;33;73
08:00;26;4;26;14;69;131
09:00;30;4;27;16;59;119
10:00;24;5;32;19;44;91
11:00;23;9;31;12;32;71
12:00;24;12;36;21;18;51
13:00;23;15;40;24;12;42
14:00;35;17;38;20;17;60
15:00;34;21;40;21;13;55
16:00;37;21;43;27;17;63
17:00;41;20;43;25;17;68
18:00;49;11;43;25;25;88
19:00;52;7;46;26;39;111
20:00;55;8;57;27;57;142
21:00;52;11;68;34;119;234
22:00;43;10;64;31;99;193
23:00;40;9;56;28;57;127
