CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;61;3;3;37;31;82;186
01:00;45;3;3;37;28;68;149
02:00;28;4;3;35;25;29;72
03:00;22;3;3;31;25;21;54
04:00;21;3;4;35;20;13;40
05:00;20;4;2;33;20;41;82
06:00;20;3;3;30;19;52;99
07:00;35;3;4;38;23;66;136
08:00;45;3;15;46;24;40;106
09:00;34;3;53;39;16;12;52
10:00;46;3;57;39;15;11;62
11:00;45;3;68;34;13;9;58
12:00;13;4;108;20;7;2;16
13:00;7;4;114;13;4;0;7
14:00;10;3;113;12;7;1;11
15:00;10;3;111;11;8;1;12
16:00;11;3;110;9;8;1;13
17:00;7;4;115;12;8;0;7
18:00;7;4;114;10;7;0;7
19:00;11;3;108;12;10;0;11
20:00;12;3;104;11;9;0;12
21:00;25;3;81;15;6;1;26
22:00;91;3;10;29;5;79;211
23:00;78;3;4;36;21;81;201
