CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;9;9;19;22;2;13
01:00;36;11;1;205;42;100
02:00;34;11;2;188;35;87
03:00;31;11;1;129;30;77
04:00;28;11;1;94;28;71
05:00;23;10;1;75;24;61
06:00;21;9;1;42;21;54
07:00;19;9;1;25;16;43
08:00;18;8;1;19;10;35
09:00;16;8;2;23;9;30
10:00;15;8;2;17;11;33
11:00;15;9;3;23;11;32
12:00;16;10;4;26;14;38
13:00;16;11;5;37;12;35
14:00;17;12;6;30;11;34
15:00;17;13;7;27;10;33
16:00;16;13;9;30;8;28
17:00;17;14;8;18;8;30
18:00;18;13;7;30;8;30
19:00;18;;6;34;9;33
20:00;20;11;7;30;10;35
21:00;18;10;10;30;8;31
22:00;15;9;13;23;6;24
23:00;11;8;17;20;4;17
