CZAS;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;5;29;47;31
01:00;7;32;49;34
02:00;8;57;23;21
03:00;7;53;24;18
04:00;6;46;24;15
05:00;5;21;29;18
06:00;5;5;32;24
07:00;8;10;33;24
08:00;13;22;42;27
09:00;14;31;38;24
10:00;12;46;28;18
11:00;13;52;25;16
12:00;13;59;20;14
13:00;8;62;;11
14:00;5;50;;10
15:00;6;60;20;11
16:00;7;71;11;9
17:00;5;66;14;8
18:00;;65;18;9
19:00;3;64;18;13
20:00;3;52;21;14
21:00;4;33;32;24
22:00;5;17;47;34
23:00;5;28;43;32
