CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;9;2;53;7;4;1;11
01:00;11;5;50;16;14;0;11
02:00;8;3;53;15;9;0;8
03:00;8;3;51;13;8;0;8
04:00;7;2;51;10;8;0;7
05:00;11;2;48;13;8;1;12
06:00;17;3;44;6;6;3;21
07:00;22;2;40;3;3;5;29
08:00;21;2;41;6;5;5;29
09:00;27;3;32;9;6;9;40
10:00;30;5;31;10;7;7;41
11:00;29;6;35;8;7;7;39
12:00;26;3;38;9;7;7;36
13:00;27;4;42;11;7;8;39
14:00;26;5;43;13;9;7;36
15:00;21;4;48;13;6;6;30
16:00;21;3;48;12;6;7;31
17:00;35;7;30;18;9;10;49
18:00;31;9;36;17;5;10;46
19:00;24;6;43;15;5;8;35
20:00;16;3;49;11;6;4;22
21:00;15;2;48;9;4;4;21
22:00;14;2;47;10;4;4;20
23:00;12;2;50;10;5;3;16
