CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;37;15;83;47;119;220
01:00;32;14;82;45;115;208
02:00;36;7;45;23;52;115
03:00;32;5;43;24;31;79
04:00;27;5;43;24;38;85
05:00;26;5;40;22;37;82
06:00;25;4;41;20;55;108
07:00;25;6;41;22;114;200
08:00;28;6;38;20;156;267
09:00;29;5;37;19;73;140
10:00;32;9;35;16;31;79
11:00;22;29;26;11;6;32
12:00;16;47;27;8;3;21
13:00;13;58;24;9;2;16
14:00;14;62;26;10;2;17
15:00;14;66;27;12;1;16
16:00;15;71;27;12;1;17
17:00;22;74;26;12;2;25
18:00;26;72;33;15;2;29
19:00;33;54;37;19;2;36
20:00;80;12;53;24;63;176
21:00;82;14;75;36;203;391
22:00;54;14;81;41;112;226
23:00;49;15;83;45;133;253
