CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;12;45;17;5;3;15
01:00;12;39;17;4;2;15
02:00;14;42;28;12;1;17
03:00;12;38;27;12;1;14
04:00;11;33;22;11;1;13
05:00;13;28;20;12;2;17
06:00;16;26;24;10;2;20
07:00;26;17;24;13;5;35
08:00;31;14;26;13;12;50
09:00;32;16;32;12;17;58
10:00;33;17;32;12;18;61
11:00;37;15;38;16;23;72
12:00;27;33;32;11;10;42
13:00;21;55;33;11;3;27
14:00;14;81;31;10;1;16
15:00;11;78;30;10;1;13
16:00;11;77;28;9;1;12
17:00;;74;36;7;;
18:00;26;;41;13;2;30
19:00;60;38;49;16;13;80
20:00;100;11;71;24;102;257
21:00;45;52;40;20;19;74
22:00;20;75;44;9;2;23
23:00;13;68;22;5;4;18
