CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;37;3;5;202;167;170;296
01:00;27;3;3;174;140;91;166
02:00;25;3;3;201;154;77;141
03:00;21;3;3;154;128;58;109
04:00;19;3;2;127;99;54;101
05:00;15;3;2;115;94;45;83
06:00;18;3;2;95;76;43;83
07:00;18;;2;101;78;63;112
08:00;21;3;2;108;90;107;185
09:00;26;5;2;108;91;107;190
10:00;34;11;4;111;84;88;167
11:00;33;12;19;84;65;26;72
12:00;22;10;43;70;46;6;31
13:00;18;14;56;54;34;4;23
14:00;14;14;69;47;27;2;16
15:00;8;5;80;35;25;0;8
16:00;10;5;79;35;24;0;10
17:00;11;3;78;38;26;0;11
18:00;13;4;72;37;23;0;13
19:00;65;4;16;62;36;99;216
20:00;76;3;4;107;69;198;378
21:00;76;3;6;176;132;268;486
22:00;71;5;5;208;151;335;582
23:00;51;3;6;211;163;245;425
