CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;20;3;8;51;41;4;26
01:00;17;3;8;43;38;3;21
02:00;22;3;2;;51;27;63
03:00;20;4;2;112;49;36;74
04:00;17;4;2;51;42;27;58
05:00;16;3;2;42;29;18;43
06:00;17;3;2;25;20;12;35
07:00;16;3;2;25;20;12;32
08:00;14;3;2;26;21;16;39
09:00;14;3;3;28;21;21;46
10:00;13;3;4;32;22;24;50
11:00;13;5;5;36;24;26;51
12:00;12;7;10;40;26;18;39
13:00;10;8;23;30;21;8;21
14:00;10;8;34;24;18;4;15
15:00;13;6;28;23;19;5;19
16:00;13;6;37;21;17;3;16
17:00;10;5;43;17;11;2;12
18:00;14;4;32;27;13;1;16
19:00;24;4;19;41;27;2;27
20:00;35;5;10;63;49;5;42
21:00;34;4;8;59;50;6;43
22:00;28;4;9;54;42;5;35
23:00;27;3;7;49;41;5;34
