CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;55.8431;2.71979;4.16669;28.9625;51.5982;42.3;79.5036;176.6
01:00;43.8284;2.29093;3.95047;22.2057;53.4974;44.3;59.7116;134.5
02:00;56.578;3.15273;17.1935;34.8679;32.1644;25.2;7.07609;67.4
03:00;54.25;3.19139;11.4965;26.095;27.9689;20.1;9.88218;69.3
04:00;45.3811;2.53151;22.869;19.3615;22.769;20.6;3.63887;50.9
05:00;53.4726;1.99731;13.9877;12.875;23.8264;21.9;6.34278;63.1
06:00;48.4393;2.46166;18.3203;14.1641;28.716;18.2;8.04632;60.6
07:00;54.5694;2.41916;10.0533;14.7901;33.7653;23.3;16.0198;78.9
08:00;53.3196;2.74284;13.4975;14.843;33.413;16.5;14.9228;75.9
09:00;52.7308;2.36646;19.6503;15.8835;32.0767;18.6;13.8542;73.8
10:00;47.5381;2.85694;28.1564;17.2539;26.7948;17.9;9.42945;61.8
11:00;48.0376;3.1567;27.7212;19.282;42.2867;22;18.5596;76.3
12:00;24.3684;5.50145;78.3738;26.2201;29.6553;15.3;5.46919;32.8
13:00;30.1648;4.81807;85.6906;35.1829;30.9866;15.1;1.59656;32.6
14:00;48.4479;4.2098;64.9988;41.0177;32.6534;12.6;4.10976;54.6
15:00;43.9448;2.88499;61.0154;47.388;25.5816;16.4;3.41663;49.1
16:00;58.5718;2.59499;39.2901;50.6121;31.3669;18.9;9.73286;73.3
17:00;42.8586;2.33814;58.0049;55.4064;31.2516;17.2;4.59387;49.9
18:00;47.4716;2.67203;59.7031;59.3497;26.5553;17.3;3.63402;53
19:00;65.8412;3.0838;36.3644;60.4301;32.311;22.4;9.46063;80.2
20:00;54.504;3.81138;42.1336;55.9001;35.1183;27.5;4.06701;60.7
21:00;70.2353;4.14778;21.4242;47.8668;41.3725;33.3;12.6613;89.5
22:00;73.8535;3.22908;5.20626;40.3927;54.7553;37.3;30.6666;120.6
23:00;68.3738;2.79445;4.6965;33.3529;56.0507;39.5;45.3971;137.4
