CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;16;7;32;12;6;25
01:00;16;3;29;12;6;26
02:00;21;43;24;12;2;25
03:00;16;46;23;12;2;19
04:00;26;26;31;16;3;32
05:00;15;24;29;14;3;19
06:00;25;15;35;17;9;39
07:00;34;9;28;15;22;69
08:00;40;9;24;12;24;76
09:00;38;13;27;12;17;64
10:00;39;11;36;14;14;61
11:00;30;20;32;14;8;42
12:00;38;12;36;17;15;62
13:00;29;13;40;15;13;51
14:00;22;14;38;15;11;38
15:00;22;10;36;13;18;49
16:00;21;11;35;13;12;40
17:00;27;7;38;15;26;67
18:00;33;4;39;15;31;82
19:00;32;3;39;14;23;68
20:00;33;2;39;12;23;68
21:00;32;2;37;14;23;68
22:00;31;2;44;18;20;62
23:00;25;4;37;17;14;46
