CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;19;1;18;14;6;27
01:00;13;1;11;8;5;19
02:00;13;8;48;25;4;19
03:00;11;7;38;22;4;16
04:00;11;6;38;21;4;17
05:00;14;7;38;20;5;20
06:00;18;5;40;22;6;26
07:00;21;4;45;19;7;32
08:00;28;2;60;25;9;40
09:00;24;4;70;24;8;36
10:00;19;2;60;15;8;30
11:00;;4;54;11;;
12:00;;4;36;14;;
13:00;;3;39;14;;
14:00;;2;37;12;;
15:00;;2;40;12;;
16:00;;2;46;11;;
17:00;19;1;34;9;1;21
18:00;22;1;29;12;3;27
19:00;25;;28;12;4;31
20:00;27;1;23;12;7;36
21:00;26;1;23;15;7;34
22:00;21;1;30;14;5;27
23:00;19;1;22;12;5;25
