CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;8;2;43;23;12;0;8
01:00;6;2;43;25;11;0;6
02:00;7;3;44;8;5;0;7
03:00;6;2;51;4;3;0;6
04:00;4;2;65;6;3;0;4
05:00;8;2;61;5;4;0;8
06:00;12;2;58;3;3;1;13
07:00;31;2;32;3;3;6;40
08:00;36;2;20;4;3;9;49
09:00;20;3;32;7;3;3;25
10:00;14;3;39;9;4;1;16
11:00;20;3;38;9;5;4;26
12:00;13;2;48;8;4;1;15
13:00;13;2;48;8;4;2;15
14:00;15;3;48;8;4;1;17
15:00;15;3;44;7;3;2;18
16:00;16;2;38;4;3;3;20
17:00;20;2;36;6;3;5;27
18:00;26;2;33;10;3;5;33
19:00;13;3;48;15;5;1;14
20:00;13;3;49;15;9;1;14
21:00;18;3;36;27;17;1;19
22:00;16;3;35;29;21;0;16
23:00;11;2;38;25;18;0;11
