CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;19;62;23;13;1;22
01:00;41;29;27;13;4;48
02:00;28;11;54;34;123;216
03:00;24;10;48;33;98;175
04:00;28;9;50;26;93;170
05:00;23;10;41;22;41;87
06:00;18;11;29;17;14;40
07:00;21;9;30;15;40;83
08:00;12;14;23;20;4;17
09:00;21;12;23;15;17;47
10:00;13;20;23;10;7;23
11:00;13;30;21;14;4;20
12:00;9;44;19;11;1;11
13:00;7;59;18;11;0;8
14:00;7;70;;7;0;7
15:00;5;77;;9;0;5
16:00;5;83;15;9;0;5
17:00;7;82;15;7;0;8
18:00;13;74;18;9;0;14
19:00;17;72;22;9;1;18
20:00;11;86;23;14;0;12
21:00;38;61;30;14;7;50
22:00;;47;32;15;;
23:00;17;71;25;10;1;18
