CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;38;3;2;31;14;21;71
01:00;26;2;3;21;13;13;47
02:00;29;3;39;36;;1;30
03:00;12;3;54;31;29;0;13
04:00;10;2;42;21;;0;10
05:00;13;2;39;24;22;0;13
06:00;34;2;13;22;19;14;56
07:00;34;3;4;25;20;32;83
08:00;34;3;5;29;19;43;99
09:00;29;3;31;17;5;11;45
10:00;18;3;43;13;3;6;28
11:00;9;3;72;15;5;2;12
12:00;9;2;82;16;4;1;10
13:00;11;2;85;15;7;1;12
14:00;15;4;82;24;14;2;17
15:00;20;6;66;21;20;3;24
16:00;24;5;52;22;;5;32
17:00;24;7;61;25;18;2;28
18:00;25;7;60;21;;4;31
19:00;27;4;39;16;12;4;34
20:00;34;3;24;23;13;6;43
21:00;39;4;19;28;16;13;59
22:00;47;3;2;34;14;39;106
23:00;41;3;5;27;14;13;61
