CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;19;34;15;12;4;25
01:00;57;27;27;23;8;69
02:00;42;36;24;19;5;49
03:00;34;32;22;21;4;42
04:00;37;26;15;14;4;44
05:00;25;42;11;10;0;25
06:00;24;53;10;8;0;25
07:00;62;36;10;7;18;90
08:00;67;34;10;6;16;92
09:00;72;32;16;11;19;103
10:00;66;31;20;13;20;98
11:00;44;46;16;9;15;68
12:00;34;54;16;6;7;44
13:00;34;54;18;6;5;43
14:00;39;49;20;6;6;48
15:00;34;54;17;6;6;45
16:00;37;54;14;4;8;50
17:00;39;53;20;5;6;50
18:00;36;53;21;7;6;47
19:00;41;51;23;6;8;54
20:00;42;49;25;8;10;58
21:00;40;47;18;13;11;57
22:00;23;34;22;12;7;36
23:00;21;31;24;12;5;30
