CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;51;13;10;245;188;303;514
01:00;25;2;19;66;38;6;35
02:00;25;2;19;49;30;9;38
03:00;20;1;23;44;29;3;24
04:00;24;2;21;41;25;6;33
05:00;29;1;14;44;22;7;41
06:00;35;1;6;37;23;21;68
07:00;38;1;7;27;17;53;120
08:00;40;1;7;33;19;78;159
09:00;45;2;9;37;28;163;295
10:00;37;2;17;36;25;28;79
11:00;23;2;35;39;25;10;39
12:00;24;2;39;28;17;13;44
13:00;15;;52;25;16;6;26
14:00;31;1;36;24;21;13;52
15:00;42;1;27;27;24;21;75
16:00;67;2;7;51;28;93;211
17:00;75;3;7;80;44;171;337
18:00;76;4;10;119;74;334;587
19:00;71;5;9;145;100;266;479
20:00;66;7;12;184;134;291;510
21:00;73;9;11;221;158;392;672
22:00;56;11;11;221;163;309;529
23:00;58;13;11;231;178;330;563
