CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;13;5;22;51;41;0;14
01:00;19;5;5;84;60;2;22
02:00;19;4;7;79;58;1;21
03:00;18;4;7;77;59;1;19
04:00;17;4;8;76;56;1;18
05:00;16;4;9;73;54;1;17
06:00;17;4;7;75;51;1;19
07:00;17;3;7;65;53;2;20
08:00;20;2;5;62;46;5;27
09:00;20;3;7;54;44;7;30
10:00;19;4;8;62;44;7;30
11:00;17;3;11;59;47;6;27
12:00;18;3;11;57;44;6;27
13:00;19;5;13;63;47;5;26
14:00;23;6;9;85;56;8;35
15:00;25;5;7;86;52;7;35
16:00;25;3;8;72;48;5;31
17:00;;;8;72;52;;
18:00;23;4;;65;51;4;28
19:00;20;3;10;58;47;2;23
20:00;19;3;11;60;40;2;22
21:00;14;2;15;56;38;1;16
22:00;18;4;14;55;40;1;20
23:00;19;5;15;49;40;1;21
