CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;10;9;28;5;4;15
01:00;12;8;12;4;4;16
02:00;10;7;8;7;4;15
03:00;8;5;9;3;4;13
04:00;10;4;8;2;5;15
05:00;9;3;4;3;5;16
06:00;14;2;4;2;15;35
07:00;17;1;4;2;20;47
08:00;20;2;4;3;36;74
09:00;22;2;5;3;51;99
10:00;19;2;11;3;33;68
11:00;18;2;12;3;28;59
12:00;20;2;13;4;49;94
13:00;19;2;16;6;30;63
14:00;20;3;11;5;28;62
15:00;20;3;8;5;23;54
16:00;21;4;7;5;23;55
17:00;21;5;14;5;16;44
18:00;24;4;15;4;18;51
19:00;24;5;11;5;14;43
20:00;15;7;13;7;11;30
21:00;15;7;10;7;9;27
22:00;13;8;12;6;8;23
23:00;11;8;14;7;6;19
