CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;66;5;14;85;110;234
01:00;53;4;12;76;60;143
02:00;42;1;9;60;43;108
03:00;41;1;9;49;18;68
04:00;45;1;6;48;28;86
05:00;48;1;6;46;32;97
06:00;48;2;7;52;70;155
07:00;54;6;9;62;105;213
08:00;50;12;21;50;68;153
09:00;41;15;34;34;18;68
10:00;30;11;54;34;9;42
11:00;21;9;69;24;4;26
12:00;23;10;74;26;4;29
13:00;23;11;75;19;4;29
14:00;24;10;75;24;4;29
15:00;26;12;75;24;4;32
16:00;26;12;80;18;4;31
17:00;29;11;78;20;4;34
18:00;38;12;72;24;7;47
19:00;42;14;69;19;7;52
20:00;59;12;51;30;9;72
21:00;102;13;15;51;95;246
22:00;99;9;10;83;154;334
23:00;98;7;13;94;202;405
