CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;21.0591;5.79185;20.6364;29.154;51.8922;35.5;1.59304;23.5
01:00;16.3189;6.4791;26.3408;26.1167;49.0786;44.4;1.17149;18.1
02:00;6.45266;2.60022;40.0004;40.2288;21.2113;17.1;0.933174;7.9
03:00;6.64502;2.36572;37.3636;39.9421;26.2602;12.9;0.802932;7.8
04:00;5.87397;2.29811;36.8318;39.809;24.8461;20.5;0.686892;7
05:00;6.45903;2.65666;35.279;39.168;26.3481;16.8;0.787344;7.7
06:00;12.7321;2.44594;26.8416;37.4769;23.8734;14.7;1.0409;14.2
07:00;14.9001;2.76079;23.5852;35.2672;22.1243;14.9;1.35785;17
08:00;20.6035;2.61382;18.1872;32.4591;24.5019;21.1;4.07839;26.8
09:00;19.2097;3.33515;21.0409;29.8912;35.4013;17.8;7.42416;30.4
10:00;18.597;4.54702;22.62;27.7187;33.8773;23.3;10.5988;34.7
11:00;13.0796;6.07133;29.5721;26.7447;35.9601;21.2;7.11933;23.9
12:00;8.74985;3.85623;36.8918;26.7522;25.6568;16.7;4.2308;15.1
13:00;8.47087;3.40939;43.4114;27.7688;27.9482;19.8;3.41748;13.7
14:00;9.68109;4.07082;46.8835;30.274;31.454;16.9;3.44692;14.9
15:00;9.5094;3.55566;50.4522;33.6324;27.7594;15.9;2.7047;13.6
16:00;11.8501;3.91398;48.9304;37.4753;29.6518;20;2.89053;16.3
17:00;;;50.6393;41.1751;34.8023;16.4;;
18:00;27.2418;4.45617;35.6008;42.7977;38.3802;22.1;2.61628;31.2
19:00;27.5551;7.33619;27.1704;42.4975;42.0485;23.3;1.92142;30.5
20:00;22.8888;10.037;26.9674;41.2569;36.107;32.2;1.79326;25.6
21:00;24.3233;13.3697;22.315;38.6199;54.3926;39.6;2.00663;27.3
22:00;20.9757;11.1289;22.9993;35.6343;45.4075;39;1.70043;23.6
23:00;17.0827;7.09605;26.9036;32.6908;41.1974;29.3;1.21202;18.9
