CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;30;1;1;27;24;61;123
01:00;22;1;1;27;22;34;74
02:00;11;1;1;25;19;16;36
03:00;10;1;1;18;15;11;28
04:00;8;1;1;15;14;17;34
05:00;7;1;1;21;17;18;34
06:00;2;1;1;19;14;48;75
07:00;2;1;1;21;17;83;129
08:00;3;2;2;21;18;93;144
09:00;15;3;8;23;;26;54
10:00;15;3;21;22;;13;35
11:00;16;3;34;18;14;6;24
12:00;15;4;46;20;12;3;20
13:00;18;4;47;;;4;24
14:00;15;3;59;;;3;20
15:00;10;2;69;17;12;2;12
16:00;7;1;78;12;11;1;8
17:00;9;1;72;10;9;0;9
18:00;11;3;73;16;7;1;13
19:00;10;4;72;17;8;0;11
20:00;12;1;64;16;12;0;13
21:00;26;2;35;22;16;1;28
22:00;47;2;2;24;21;28;90
23:00;33;2;2;30;22;95;178
