CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;35;50;2;105;88;12;55
01:00;82;87;6;518;;207;398
02:00;69;80;6;463;;185;352
03:00;59;;4;383;310;151;291
04:00;71;66;5;430;301;253;458
05:00;71;68;5;437;272;269;483
06:00;74;62;4;391;107;255;464
07:00;73;67;3;411;84;237;435
08:00;87;65;4;411;95;354;628
09:00;90;86;5;478;177;342;613
10:00;76;100;3;392;195;182;354
11:00;82;107;2;333;257;157;321
12:00;121;106;2;454;366;230;473
13:00;84;74;1;233;195;106;248
14:00;78;62;3;235;209;63;175
15:00;96;61;2;274;231;100;249
16:00;91;63;3;290;246;98;241
17:00;89;72;2;334;275;66;191
18:00;94;82;3;384;326;79;214
19:00;75;72;2;302;266;60;166
20:00;69;78;2;295;257;43;135
21:00;62;79;2;256;222;49;137
22:00;53;72;2;198;167;32;102
23:00;44;61;1;136;119;23;80
