CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;18;1;19;17;2;21
01:00;16;1;23;20;2;19
02:00;18;3;18;10;2;21
03:00;13;3;20;11;1;16
04:00;16;3;22;14;2;19
05:00;14;2;18;15;2;17
06:00;15;2;20;14;2;19
07:00;24;2;17;15;5;31
08:00;23;1;20;15;4;30
09:00;35;;21;15;13;54
10:00;38;1;25;15;24;75
11:00;30;1;28;17;13;51
12:00;25;1;21;16;10;40
13:00;29;2;21;18;10;45
14:00;28;2;25;14;11;45
15:00;33;2;24;16;11;50
16:00;;;28;17;;
17:00;29;1;28;21;9;43
18:00;28;2;26;20;8;40
19:00;39;2;27;23;12;57
20:00;31;1;22;17;4;38
21:00;42;2;27;16;8;55
22:00;36;2;27;16;5;43
23:00;19;2;20;15;2;22
