CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;51;6;43;21;150;280
01:00;34;5;34;16;98;184
02:00;29;13;72;43;131;230
03:00;25;11;62;38;110;193
04:00;24;11;62;36;88;159
05:00;29;9;54;30;18;56
06:00;23;8;48;27;35;77
07:00;23;7;42;24;42;87
08:00;16;12;38;20;18;44
09:00;15;17;34;20;6;24
10:00;14;21;29;18;6;25
11:00;15;25;28;16;6;25
12:00;14;33;28;16;4;19
13:00;;50;27;11;;
14:00;11;;24;12;1;12
15:00;8;77;19;11;0;8
16:00;6;86;18;10;0;6
17:00;6;86;21;10;0;6
18:00;11;78;19;11;0;11
19:00;22;61;25;10;0;24
20:00;35;43;28;13;1;37
21:00;34;40;27;12;1;36
22:00;62;17;37;18;93;204
23:00;70;8;49;24;246;446
