CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;77;98;22;320;172;340
01:00;68;133;47;;181;344
02:00;68;146;44;;162;315
03:00;58;165;46;;119;241
04:00;59;144;40;;165;312
05:00;61;149;39;;188;348
06:00;59;163;40;265;131;258
07:00;62;156;40;261;176;330
08:00;;;39;;;
09:00;76;171;;;200;382
10:00;77;161;13;276;138;289
11:00;52;175;21;220;35;104
12:00;35;132;46;146;12;54
13:00;22;115;59;97;5;30
14:00;17;100;70;68;2;19
15:00;18;93;74;61;2;21
16:00;22;87;78;67;1;24
17:00;26;77;72;64;1;29
18:00;46;72;46;65;2;48
19:00;51;;46;95;3;57
20:00;103;32;16;169;174;368
21:00;100;65;19;255;214;427
22:00;93;74;19;285;223;435
23:00;91;68;20;295;244;465
