CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;32;10;30;16;14;52
01:00;20;12;31;17;5;27
02:00;25;11;;26;9;38
03:00;25;10;;25;10;39
04:00;16;11;;23;5;22
05:00;17;11;;17;6;23
06:00;20;10;;13;12;37
07:00;26;7;;13;20;55
08:00;32;6;;12;36;85
09:00;32;7;;;31;78
10:00;27;8;;;20;58
11:00;27;10;23;14;20;56
12:00;30;8;23;12;21;61
13:00;27;13;16;10;15;50
14:00;20;19;6;;8;32
15:00;23;18;3;;11;39
16:00;23;19;15;6;10;37
17:00;25;21;16;5;10;39
18:00;46;8;26;10;32;94
19:00;57;7;39;16;80;178
20:00;54;10;54;25;77;170
21:00;52;12;57;26;93;192
22:00;37;11;21;12;14;57
23:00;38;10;30;14;15;61
