CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;86.5043;10.1127;5.27402;54.1547;141.826;82.9635;278.721;510.2
01:00;58.1754;12.3445;4.48655;42.6672;91.7374;70.386;102.629;214.2
02:00;14.0106;23.8353;47.4971;45.9862;28.5056;27.5084;0.305861;14.5
03:00;12.8043;17.3132;47.0809;45.535;23.8236;20.3538;0.0166267;12.8
04:00;11.1788;9.26646;47.829;46.5422;30.9424;18.1343;0.2;11.5
05:00;13.7024;4.2;49.1557;47.958;20.7296;14.7866;0.2;14
06:00;17.2122;4.2;49.8916;48.2179;17.4101;8.08336;0.488062;18
07:00;31.5703;4.4272;33.976;46.2477;18.3093;11.8248;2.09254;34.8
08:00;28.1849;6.46587;42.9989;45.6998;27.3519;9.92994;4.63399;35.2
09:00;13.8799;4.39696;59.2482;47.2097;15.7851;3;2.55635;17.8
10:00;8.3545;4.3;66.7228;49.6129;15.7928;3.61;1.43474;10.5
11:00;6.43778;4.47715;72.9217;52.843;8.50044;4.20871;0.727763;7.5
12:00;6.11788;;75.4149;56.2912;9.26591;4.02975;0.707326;7.2
13:00;4.88506;;80.8502;60.253;10.9758;3;0.453423;5.6
14:00;5.19858;;81.5606;64.2117;12.5754;3;0.421209;5.8
15:00;4.25058;;87.6287;70.9183;14.6352;3;0.141327;4.5
16:00;3.48857;;92.2926;77.08;11.6842;3;0.196457;3.8
17:00;3.36529;;96.3862;81.7222;10.0719;3;0;3.4
18:00;4.58801;;95.3134;85.296;8.90907;3;0;4.6
19:00;6.67637;;92.1834;87.7038;7.23733;3;0;6.7
20:00;24.6012;;66.4318;86.5809;24.3592;14.4286;0.491234;25.3
21:00;55.0014;;34.6138;80.8013;54.8366;45.2491;0.550758;55.8
22:00;49.2109;;37.1536;75.2504;68.0659;43.5309;49.4425;124.4
23:00;92.9978;;5.88138;65.032;225.602;83.8847;305.707;557.7
