CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;10;3;26;17;0;10
01:00;12;15;42;30;1;14
02:00;13;12;40;31;1;15
03:00;9;8;30;26;0;10
04:00;9;9;19;17;0;10
05:00;9;11;21;18;1;10
06:00;10;9;23;15;0;11
07:00;18;9;21;16;1;20
08:00;18;9;20;14;2;21
09:00;20;7;20;14;3;24
10:00;21;9;20;15;3;26
11:00;12;7;16;12;2;14
12:00;10;4;20;11;1;11
13:00;11;3;19;14;1;13
14:00;14;4;20;16;1;16
15:00;17;6;20;16;1;19
16:00;22;10;30;15;2;25
17:00;21;3;31;18;2;24
18:00;24;9;28;21;2;27
19:00;15;2;25;13;1;17
20:00;15;;23;15;1;17
21:00;13;4;23;16;1;14
22:00;9;3;15;13;0;10
23:00;11;3;23;14;0;12
