CZAS;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;5;49;27;22
01:00;4;47;44;17
02:00;5;2;40;32
03:00;4;2;34;33
04:00;4;16;34;32
05:00;4;3;36;32
06:00;4;8;36;34
07:00;5;19;39;28
08:00;6;19;39;24
09:00;5;25;39;28
10:00;11;30;27;23
11:00;27;58;21;16
12:00;16;75;23;16
13:00;11;71;20;16
14:00;8;72;15;14
15:00;11;83;13;13
16:00;13;84;21;13
17:00;10;84;19;17
18:00;7;88;21;16
19:00;6;68;21;14
20:00;6;54;25;19
21:00;6;63;;
22:00;5;52;;
23:00;5;50;37;28
