CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;16;19;13;6;3;21
01:00;17;17;14;5;2;20
02:00;34;5;26;13;44;101
03:00;23;5;27;15;33;72
04:00;21;5;26;17;29;65
05:00;22;5;23;14;53;104
06:00;27;6;27;16;181;305
07:00;36;8;44;20;288;477
08:00;49;10;47;24;315;532
09:00;54;6;34;16;132;257
10:00;19;29;16;;7;29
11:00;21;34;12;;5;29
12:00;23;45;10;;5;30
13:00;29;48;14;5;5;38
14:00;22;54;15;5;4;28
15:00;26;53;15;5;4;32
16:00;29;44;11;7;7;40
17:00;37;39;14;4;8;49
18:00;46;25;18;10;12;65
19:00;45;16;13;8;18;73
20:00;53;7;12;5;31;101
21:00;40;13;9;4;16;64
22:00;28;18;9;4;8;40
23:00;26;18;9;4;6;36
