CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;33;1;52;39;29;78
01:00;25;1;51;38;9;38
02:00;25;1;54;40;55;109
03:00;23;1;43;35;21;56
04:00;24;3;42;34;11;42
05:00;22;;46;31;7;34
06:00;21;3;39;29;28;65
07:00;21;3;38;22;13;41
08:00;20;5;34;27;21;52
09:00;21;8;37;30;35;74
10:00;22;9;52;38;35;76
11:00;23;8;54;38;33;73
12:00;21;9;42;35;20;51
13:00;21;7;42;30;14;42
14:00;25;4;50;36;11;42
15:00;28;4;54;44;11;45
16:00;33;2;45;38;11;51
17:00;37;2;48;36;8;50
18:00;38;4;62;42;15;61
19:00;37;3;57;35;13;57
20:00;36;3;54;30;15;60
21:00;35;2;51;39;13;55
22:00;34;1;56;37;18;62
23:00;33;1;64;48;49;107
