CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;43;4;27;12;64;141
01:00;40;3;17;12;41;101
02:00;8;36;7;3;0;9
03:00;11;40;9;3;0;12
04:00;7;41;9;4;0;8
05:00;8;33;7;4;1;10
06:00;14;25;7;4;5;22
07:00;23;16;10;3;12;41
08:00;28;14;9;3;16;52
09:00;26;21;17;3;13;46
10:00;26;18;14;3;12;45
11:00;19;24;15;5;9;33
12:00;20;25;12;5;9;34
13:00;22;27;14;5;9;36
14:00;19;34;25;5;6;28
15:00;24;34;17;5;9;37
16:00;25;40;11;6;7;36
17:00;31;36;9;6;9;44
18:00;39;27;15;5;12;57
19:00;40;26;19;6;11;56
20:00;48;13;19;9;12;66
21:00;60;4;20;11;45;130
22:00;57;5;30;14;96;204
23:00;47;4;29;16;75;161
