CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;45;9;57;31;77;163
01:00;34;7;48;25;51;113
02:00;25;4;30;16;83;153
03:00;20;2;28;13;52;99
04:00;17;2;22;11;52;97
05:00;16;3;20;10;71;124
06:00;24;4;28;15;177;295
07:00;33;7;42;22;317;518
08:00;56;10;55;26;461;761
09:00;59;8;52;25;314;539
10:00;52;5;44;21;105;213
11:00;59;8;32;17;62;154
12:00;44;26;25;13;13;65
13:00;29;55;22;10;4;36
14:00;27;63;22;11;4;32
15:00;24;72;21;9;2;27
16:00;26;75;20;10;3;30
17:00;29;81;22;10;3;34
18:00;49;63;29;11;5;57
19:00;106;12;49;17;42;171
20:00;103;7;63;21;126;296
21:00;88;9;62;25;171;349
22:00;74;11;63;29;210;395
23:00;56;10;59;29;150;286
