CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;52;2;69;50;104;212
01:00;41;1;65;47;103;199
02:00;39;2;54;41;51;117
03:00;34;2;48;41;87;167
04:00;32;2;43;37;100;185
05:00;28;2;47;35;106;190
06:00;35;2;60;37;146;258
07:00;50;3;64;41;244;422
08:00;59;2;67;41;244;433
09:00;58;2;81;41;139;270
10:00;64;3;71;35;66;165
11:00;66;12;51;30;41;130
12:00;59;;37;23;15;81
13:00;42;9;29;15;7;52
14:00;45;5;39;20;9;59
15:00;38;6;33;20;5;46
16:00;46;34;38;23;7;57
17:00;37;13;31;18;5;45
18:00;44;8;30;17;7;54
19:00;57;8;33;23;5;64
20:00;101;4;49;28;18;128
21:00;103;3;64;34;132;305
22:00;92;3;66;31;177;363
23:00;75;2;81;46;207;391
