CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;22;2;79;62;1;25
01:00;43;4;166;137;231;396
02:00;38;;154;130;164;288
03:00;38;3;94;79;33;88
04:00;31;3;88;71;21;63
05:00;24;4;65;60;4;29
06:00;40;5;75;60;21;74
07:00;46;3;88;67;100;199
08:00;50;3;91;59;94;194
09:00;33;5;70;54;11;50
10:00;36;6;69;50;16;60
11:00;33;7;69;51;10;48
12:00;33;6;66;50;8;46
13:00;30;6;64;48;5;38
14:00;28;4;60;42;4;33
15:00;21;1;55;35;1;24
16:00;21;4;55;42;1;23
17:00;28;8;84;60;1;30
18:00;40;6;105;85;4;46
19:00;67;3;165;133;38;125
20:00;57;3;152;124;42;123
21:00;36;2;111;92;3;41
22:00;33;4;100;81;3;38
23:00;26;3;84;67;2;29
