CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;38;6;44;16;112;210
01:00;31;5;42;13;70;137
02:00;23;6;39;19;110;192
03:00;20;7;38;19;98;170
04:00;16;7;33;21;116;194
05:00;16;6;30;20;110;186
06:00;13;5;30;18;106;175
07:00;15;6;32;18;132;219
08:00;17;5;32;25;131;218
09:00;12;6;24;15;16;36
10:00;15;8;23;12;15;39
11:00;19;12;21;10;15;43
12:00;12;32;14;9;4;19
13:00;8;47;12;8;1;10
14:00;11;52;9;5;2;14
15:00;9;57;9;8;2;11
16:00;13;61;9;6;2;15
17:00;10;68;11;6;1;11
18:00;8;74;9;6;1;10
19:00;13;61;10;7;1;15
20:00;58;22;35;12;75;174
21:00;65;7;39;17;105;225
22:00;51;7;37;19;114;225
23:00;40;7;39;17;126;233
