CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;17;4;53;18;1;18
01:00;16;4;49;19;1;18
02:00;49;3;10;62;28;91
03:00;51;3;11;57;15;73
04:00;49;4;14;50;11;65
05:00;42;6;24;64;5;49
06:00;52;4;11;63;28;94
07:00;57;6;10;77;119;238
08:00;53;15;21;64;55;135
09:00;27;12;53;36;5;34
10:00;23;20;70;16;4;28
11:00;19;23;77;16;2;22
12:00;17;4;80;17;2;19
13:00;16;3;78;15;2;18
14:00;21;3;72;15;5;26
15:00;17;3;79;11;2;20
16:00;21;;84;21;2;25
17:00;22;2;89;17;2;25
18:00;19;2;92;23;1;21
19:00;25;3;80;26;1;26
20:00;19;4;74;24;0;19
21:00;36;3;54;18;4;41
22:00;32;3;50;19;3;36
23:00;37;4;41;24;5;44
