CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;15;10;43;35;2;17
01:00;35;3;;;221;372
02:00;27;3;;;201;333
03:00;27;3;;;198;329
04:00;30;3;;;160;274
05:00;30;2;;;63;125
06:00;28;2;;;35;80
07:00;28;2;;;38;86
08:00;27;2;;;49;101
09:00;27;3;;;47;98
10:00;30;3;;;66;130
11:00;32;2;75;;64;128
12:00;27;2;69;54;48;100
13:00;27;4;69;50;27;67
14:00;26;5;63;50;11;41
15:00;28;4;67;53;12;45
16:00;26;8;67;50;5;34
17:00;27;8;69;52;4;33
18:00;36;3;65;51;9;48
19:00;40;2;58;49;11;56
20:00;35;3;62;48;9;48
21:00;20;8;61;45;4;25
22:00;19;8;53;39;3;23
23:00;18;8;49;38;3;21
