CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;45;2;27;21;4;7;55
01:00;53;2;20;23;6;9;66
02:00;31;2;13;14;13;3;35
03:00;32;2;7;16;7;4;38
04:00;21;2;15;13;5;1;23
05:00;23;2;13;8;7;16;46
06:00;37;2;3;15;12;27;78
07:00;40;4;2;26;18;119;220
08:00;52;3;10;19;12;74;164
09:00;28;2;31;17;6;14;48
10:00;23;2;49;16;6;8;34
11:00;17;2;59;7;4;4;22
12:00;18;2;67;5;3;4;24
13:00;19;2;70;5;4;5;26
14:00;17;2;73;5;4;4;23
15:00;17;2;76;6;5;4;23
16:00;21;2;72;11;8;3;26
17:00;27;2;66;13;7;5;34
18:00;43;2;48;16;10;6;52
19:00;55;2;33;16;9;11;71
20:00;65;2;20;21;12;17;91
21:00;76;3;5;27;22;20;107
22:00;34;2;35;27;17;1;35
23:00;41;2;28;22;8;3;45
