CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;52;3;42;15;57;140
01:00;48;3;30;15;22;81
02:00;50;5;38;16;15;73
03:00;41;5;30;14;21;73
04:00;33;5;26;12;14;55
05:00;35;10;29;11;10;50
06:00;48;6;36;17;113;220
07:00;49;5;40;14;116;227
08:00;58;6;44;22;112;230
09:00;66;6;51;19;121;252
10:00;55;15;42;10;37;112
11:00;;30;30;9;;
12:00;30;;27;9;9;44
13:00;26;35;29;11;7;37
14:00;26;38;29;11;7;36
15:00;31;40;30;12;7;43
16:00;34;45;31;13;7;45
17:00;37;41;33;12;7;48
18:00;49;28;33;10;12;67
19:00;64;19;41;14;17;89
20:00;62;15;53;23;42;125
21:00;67;7;53;21;39;127
22:00;72;6;55;23;106;235
23:00;60;6;57;24;90;199
