CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;24;5;61;36;10;38
01:00;48;6;88;39;14;68
02:00;34;24;97;63;8;45
03:00;34;24;94;60;7;43
04:00;41;21;83;56;6;50
05:00;30;21;77;45;7;39
06:00;42;21;73;43;15;64
07:00;57;22;80;45;37;113
08:00;58;25;84;45;45;125
09:00;42;26;65;31;21;73
10:00;36;22;51;25;15;58
11:00;26;18;47;14;11;41
12:00;28;18;50;18;11;44
13:00;27;15;52;17;10;42
14:00;23;14;49;15;9;36
15:00;22;12;67;16;9;35
16:00;24;13;76;17;9;38
17:00;18;6;61;15;6;27
18:00;23;4;58;20;6;33
19:00;30;6;59;25;7;41
20:00;34;9;68;31;8;45
21:00;26;;;32;7;36
22:00;28;5;;32;8;39
23:00;25;6;68;34;7;35
