CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;35;8;11;71;50;5;43
01:00;20;8;39;21;10;2;23
02:00;12;8;47;15;12;1;13
03:00;;;48;10;9;;
04:00;19;6;;10;9;1;21
05:00;33;4;21;18;18;9;47
06:00;45;3;11;22;21;30;91
07:00;41;5;12;20;18;15;63
08:00;55;7;8;26;21;58;144
09:00;46;6;16;32;16;29;89
10:00;43;7;20;38;16;26;82
11:00;43;6;23;35;20;26;82
12:00;26;5;41;26;20;8;38
13:00;22;4;51;24;15;9;35
14:00;18;3;60;20;12;5;25
15:00;25;4;51;22;11;8;37
16:00;24;3;52;19;11;4;29
17:00;31;3;44;24;18;2;34
18:00;29;;45;33;19;3;34
19:00;30;3;42;28;21;3;34
20:00;24;2;39;36;26;2;27
21:00;30;5;30;45;36;2;33
22:00;45;7;12;67;49;11;63
23:00;41;7;11;64;50;8;52
