CZAS;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;4;8;53;46
01:00;4;2;61;48
02:00;4;57;16;11
03:00;5;54;14;
04:00;4;55;12;
05:00;4;48;16;15
06:00;5;42;17;15
07:00;6;41;19;9
08:00;5;37;19;6
09:00;5;45;15;
10:00;5;41;16;
11:00;4;44;15;9
12:00;5;51;14;
13:00;5;54;16;
14:00;4;56;14;14
15:00;5;67;16;14
16:00;4;71;16;12
17:00;4;82;15;10
18:00;4;81;18;9
19:00;4;83;18;12
20:00;4;84;22;14
21:00;4;75;25;14
22:00;4;58;27;18
23:00;4;10;48;36
