CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;13;16;40;57;1;14
01:00;49;12;4;183;206;362
02:00;43;11;5;168;159;284
03:00;36;10;3;152;125;226
04:00;31;13;7;144;27;71
05:00;26;15;10;129;6;35
06:00;21;12;15;104;2;24
07:00;19;10;17;75;2;22
08:00;12;7;21;52;3;16
09:00;9;5;25;39;3;13
10:00;11;5;22;42;4;18
11:00;11;6;27;41;4;16
12:00;7;6;32;35;2;10
13:00;7;6;36;30;2;10
14:00;7;6;41;33;1;9
15:00;7;6;43;41;1;9
16:00;7;6;44;45;1;9
17:00;7;5;46;43;1;8
18:00;10;5;44;43;1;11
19:00;10;7;45;50;1;11
20:00;17;18;39;57;1;19
21:00;12;11;50;53;1;14
22:00;7;8;57;44;0;7
23:00;11;10;50;48;0;11
