CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;54;3;140;105;181;332
01:00;31;6;222;176;290;474
02:00;26;4;199;157;201;333
03:00;20;;174;142;147;246
04:00;;;161;132;;
05:00;25;11;146;119;183;304
06:00;30;8;121;96;172;293
07:00;34;8;125;95;211;356
08:00;57;10;147;106;381;640
09:00;47;12;102;69;79;167
10:00;41;11;75;61;29;85
11:00;47;9;86;62;40;108
12:00;42;4;73;63;32;91
13:00;32;4;56;49;9;47
14:00;29;3;56;39;3;34
15:00;30;5;58;40;3;34
16:00;53;4;75;50;7;63
17:00;73;4;84;52;16;97
18:00;77;3;88;65;33;126
19:00;70;6;105;74;27;110
20:00;68;4;115;88;73;180
21:00;90;3;172;127;354;631
22:00;84;2;189;140;400;691
23:00;76;6;197;149;415;710
