CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;24;11;17;39;30;6;34
01:00;15;9;26;23;16;2;18
02:00;26;8;2;88;75;58;116
03:00;25;8;2;91;75;67;128
04:00;21;6;2;85;70;78;142
05:00;20;6;2;79;64;116;198
06:00;27;6;2;71;59;175;295
07:00;31;7;3;77;64;250;413
08:00;42;8;2;87;68;295;494
09:00;40;8;3;98;74;249;421
10:00;45;7;2;75;64;202;354
11:00;35;12;4;66;42;93;178
12:00;26;19;10;53;34;21;58
13:00;23;17;18;43;29;14;46
14:00;15;14;32;21;18;7;27
15:00;22;15;29;32;17;10;37
16:00;32;11;22;28;19;15;55
17:00;43;11;16;37;20;21;75
18:00;42;13;14;40;31;14;64
19:00;62;15;3;65;42;71;170
20:00;51;;5;68;44;38;109
21:00;51;13;4;68;49;40;113
22:00;45;12;4;66;49;27;86
23:00;45;11;3;66;49;59;135
