CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;21;15;38;24;22;4;27
01:00;50;9;12;112;86;59;141
02:00;45;8;13;117;96;102;202
03:00;37;8;10;116;94;96;184
04:00;32;11;10;101;80;71;140
05:00;32;;9;103;82;93;174
06:00;36;17;8;89;76;134;242
07:00;42;19;7;80;53;166;296
08:00;48;20;12;117;88;196;347
09:00;65;25;11;116;88;285;501
10:00;68;37;9;126;94;273;485
11:00;79;38;10;159;124;168;335
12:00;71;36;13;141;112;88;206
13:00;67;33;15;154;115;64;165
14:00;70;26;14;152;106;67;172
15:00;72;21;8;126;85;56;158
16:00;77;19;10;154;106;118;256
17:00;79;20;10;172;130;187;365
18:00;110;26;16;230;172;432;770
19:00;79;33;15;177;138;138;290
20:00;38;29;16;60;47;21;71
21:00;29;19;26;27;17;12;47
22:00;28;14;29;32;23;8;41
23:00;25;21;36;33;22;8;37
