CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;30;3;18;15;1;32
01:00;31;3;20;18;1;33
02:00;17;2;26;17;1;19
03:00;18;2;24;19;1;19
04:00;16;2;23;22;0;16
05:00;16;2;21;20;1;17
06:00;26;2;26;22;6;34
07:00;15;2;22;13;5;22
08:00;9;3;18;11;2;12
09:00;8;3;18;8;3;12
10:00;8;3;9;6;3;13
11:00;8;2;8;6;2;10
12:00;6;2;10;9;2;9
13:00;7;2;10;9;2;9
14:00;8;2;12;7;2;11
15:00;8;3;14;7;2;11
16:00;10;6;19;14;2;14
17:00;11;7;15;11;2;14
18:00;13;4;15;9;2;15
19:00;14;5;18;15;2;16
20:00;13;4;12;12;1;15
21:00;16;3;11;11;1;18
22:00;16;2;15;14;1;18
23:00;16;2;19;17;1;18
