CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;45;5;37;16;100;197
01:00;34;4;28;15;61;128
02:00;26;4;22;10;52;106
03:00;21;4;24;10;91;161
04:00;19;4;22;11;103;177
05:00;20;4;29;10;107;184
06:00;21;5;29;13;117;201
07:00;30;8;43;19;222;368
08:00;44;7;42;19;228;392
09:00;41;5;35;13;120;226
10:00;30;16;32;9;22;64
11:00;22;28;27;10;9;36
12:00;24;27;28;12;9;38
13:00;29;25;31;14;11;46
14:00;32;34;24;14;10;47
15:00;28;44;21;9;7;39
16:00;25;56;20;11;5;32
17:00;35;51;18;6;7;45
18:00;37;51;20;5;6;46
19:00;46;39;18;8;8;59
20:00;56;23;28;12;13;76
21:00;50;22;26;14;11;67
22:00;59;9;38;18;39;118
23:00;57;5;36;17;62;152
