CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;46;13;39;128;93;2;49
01:00;27;10;56;68;56;1;30
02:00;23;11;62;62;43;1;25
03:00;17;11;66;54;40;0;18
04:00;14;8;66;51;40;0;15
05:00;14;6;64;46;38;0;15
06:00;;;56;54;37;;
07:00;28;5;;59;42;2;32
08:00;34;6;46;65;46;4;40
09:00;35;16;50;75;55;6;45
10:00;36;26;53;77;53;8;49
11:00;25;25;71;58;38;3;31
12:00;21;18;78;43;29;2;24
13:00;19;;81;51;26;1;22
14:00;24;17;80;54;31;2;28
15:00;24;15;84;57;34;2;28
16:00;19;10;90;47;27;1;20
17:00;22;8;89;50;31;0;23
18:00;32;10;74;64;36;1;34
19:00;49;14;52;97;68;2;53
20:00;81;23;27;131;99;4;88
21:00;57;21;49;100;82;2;61
22:00;58;21;36;167;129;3;63
23:00;51;19;33;145;120;3;56
