CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;59;5;36;16;129;256
01:00;47;4;29;15;107;211
02:00;29;3;28;10;63;125
03:00;28;3;22;11;35;81
04:00;22;2;19;8;53;102
05:00;26;2;16;6;56;112
06:00;33;2;19;10;58;122
07:00;39;4;34;16;172;303
08:00;46;5;34;25;172;309
09:00;49;4;28;5;130;248
10:00;26;17;13;3;15;50
11:00;17;32;9;3;6;26
12:00;16;38;12;3;5;24
13:00;14;48;17;4;3;19
14:00;15;47;17;5;3;20
15:00;15;52;16;6;3;20
16:00;17;59;18;6;3;22
17:00;23;60;20;5;3;29
18:00;29;59;23;5;4;36
19:00;44;46;19;5;7;55
20:00;80;16;25;14;45;148
21:00;89;6;40;17;75;203
22:00;71;5;33;16;51;149
23:00;63;4;38;16;86;194
