CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;73;48;228;177;67;176
01:00;31;23;188;151;30;78
02:00;34;26;183;141;32;84
03:00;63;59;194;155;26;104
04:00;53;48;180;148;40;115
05:00;44;41;202;146;56;131
06:00;54;50;207;154;46;125
07:00;55;48;198;154;48;130
08:00;61;53;200;154;65;161
09:00;69;47;200;156;100;221
10:00;48;35;194;148;68;153
11:00;62;47;201;158;72;172
12:00;63;54;210;157;52;142
13:00;65;45;224;167;50;141
14:00;78;54;216;169;37;136
15:00;84;56;195;156;27;126
16:00;80;41;215;163;21;113
17:00;81;35;202;162;26;122
18:00;63;29;226;171;142;281
19:00;61;29;320;;567;928
20:00;93;35;392;;767;1267
21:00;68;36;406;;913;1465
22:00;85;36;406;;727;1197
23:00;100;66;263;177;66;201
