CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;40.8728;1.9717;5.10349;18.8955;27.9196;16.9;28.1393;83.6
01:00;37.752;2.45181;5.36019;16.4633;21.9353;18.3;15.5172;61.4
02:00;34.5865;2.2069;4.80105;13.2565;30.4337;14.6;17.8069;61.7
03:00;30.8461;1.75974;5.64389;10.1771;31.6674;14.4;12.5812;50
04:00;28.7524;1.39854;5.99254;7.03639;21.8081;15.7;9.63936;43.4
05:00;28.1907;1.41899;5.19507;5.23724;20.1849;18;13.4697;48.7
06:00;27.755;1.76714;6.86995;5.38384;21.4151;16.6;20.8437;59.4
07:00;30.3869;2.93677;12.1305;6.38708;17.1709;15.3;15.1327;53.4
08:00;24.7096;2.34846;20.2212;8.2768;25.0185;12.1;8.58115;37.8
09:00;20.7943;2.48524;26.7445;10.9498;21.5905;11.5;10.3457;36.5
10:00;15.3465;2.81257;45.1748;15.9966;11.1431;4.3;6.0293;24.4
11:00;13.239;2.4011;58.5703;22.6124;17.3964;3.9;3.94057;19.1
12:00;12.5562;1.79665;65.0126;29.9899;6.21622;6;1.55984;15
13:00;30.1441;1.79358;46.4103;35.1418;6.10762;5.82;8.44744;42.9
14:00;11.2506;2.13534;68.6275;42.8615;10.0801;6.5;2.54532;15.1
15:00;22.1812;1.99992;59.7019;48.8079;17.6196;5.4;2.26682;25.7
16:00;35.5329;1.69614;40.7458;51.3735;10.8185;8.6;7.27353;46.6
17:00;34.0073;1.46721;44.5785;53.6027;9.12003;8.52;7.30089;45.1
18:00;35.8555;1.80019;42.5523;53.2749;9.62639;8.97;7.97704;48.1
19:00;32.2229;2.19471;44.8582;51.5609;11.437;9;8.3172;44.8
20:00;34.1056;2.16325;37.7763;48.1563;20.0395;8.3;4.73565;41.2
21:00;57.5287;2.52115;8.46708;43.4134;24.3489;14.7;42.0692;121.5
22:00;49.4734;2.22313;4.19013;35.3588;24.1616;12.1;46.8471;120.6
23:00;43.2423;2.27767;4.89726;28.5082;28.043;24.2;30.2318;89.1
00:00;36.2444;1.52543;14.0665;25.1733;29.2619;19.3;8.22402;48.7
01:00;28.137;1.70052;20.2512;22.1324;18.9841;14.4;2.64785;32.1
